vertical_id,vertical_name,events,handling_minutes,avg_handling_minutes,avg_response_hours,escalations,sla_breaches,revenue_impact,escalation_rate_pct,sla_breach_rate_pct
V01,Latin America,27123,936445.2,34.52587103196549,7.9110467131217055,2238,4812,6067847.33,8.251299634996128,17.741400287578806
V02,North America,29985,1039828.4,34.678285809571456,7.892041020510256,2633,5293,6643584.03,8.781057195264298,17.652159413039854
V03,Europe,32921,1139344.4,34.60843838279517,7.943865617690836,2820,5829,7477054.76,8.565960936788068,17.706023510828956
V04,Middle East,23903,825140.3,34.520365644479774,7.906230598669623,1965,4229,5264853.25,8.220725431954149,17.692339873656028
V05,APAC,30133,1047066.1,34.74815318753526,7.987823316629608,2576,5371,6765738.57,8.548767132379782,17.824312215843097
V06,India,29981,1032403.1,34.435245655581866,7.944737667189219,2442,5263,6772774.99,8.14515860044695,17.55445115239652
V07,Australia,23827,821196.6,34.464959919419144,7.953966928274647,2012,4254,5313366.22,8.444201955764468,17.85369538758551
V08,Canada,24064,833545.9,34.63870927526596,7.965040309175532,2047,4402,5338320.58,8.506482712765957,18.292885638297875
V09,Africa,18230,637153.2,34.95080636313768,7.9084317059791545,1584,3287,4189049.45,8.688974218321448,18.030718595721336
V10,Nordics,20955,718879.5,34.30586972083035,7.924963015986639,1772,3700,4625440.76,8.456215700310189,17.656883798616082
V11,Southeast Asia,17947,618845.3,34.481824260322064,7.939099570958934,1525,3141,4059849.32,8.497241878865548,17.50153228951914
V12,Enterprise,20931,732543.1,34.99799818451101,7.994949596292581,1732,3762,4628872.47,8.27480770149539,17.973340977497493
